# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "Homo_sapiens.GRCh38.96.chromosome.22.gff3" "-g" "exon_id" "-o" "counts.txt" "s1-unshuffled-pe-trim.sorted.bam" "s2-unshuffled-pe-trim.sorted.bam" "s3-unshuffled-pe-trim.sorted.bam" "s4-unshuffled-pe-trim.sorted.bam" "s5-unshuffled-pe-trim.sorted.bam" "s1-shuffled-pe-trim.sorted.bam" "s1-unshuffled-pe-trim.sorted.bam" "s2-shuffled-pe-trim.sorted.bam" "s2-unshuffled-pe-trim.sorted.bam" "s3-shuffled-pe-trim.sorted.bam" "s3-unshuffled-pe-trim.sorted.bam" "s4-shuffled-pe-trim.sorted.bam" "s4-unshuffled-pe-trim.sorted.bam" "s5-shuffled-pe-trim.sorted.bam" "s5-unshuffled-pe-trim.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	s1-unshuffled-pe-trim.sorted.bam	s2-unshuffled-pe-trim.sorted.bam	s3-unshuffled-pe-trim.sorted.bam	s4-unshuffled-pe-trim.sorted.bam	s5-unshuffled-pe-trim.sorted.bam	s1-shuffled-pe-trim.sorted.bam	s1-unshuffled-pe-trim.sorted.bam	s2-shuffled-pe-trim.sorted.bam	s2-unshuffled-pe-trim.sorted.bam	s3-shuffled-pe-trim.sorted.bam	s3-unshuffled-pe-trim.sorted.bam	s4-shuffled-pe-trim.sorted.bam	s4-unshuffled-pe-trim.sorted.bam	s5-shuffled-pe-trim.sorted.bam	s5-unshuffled-pe-trim.sorted.bam
ENSE00001781695	22	15690246	15690709	+	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001593346	22	15697374	15697629	+	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003460670	22	15698662	15698768	+	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003669720	22	15700078	15700215	+	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003508115	22	15702686	15702756	+	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003515936	22	15708020	15708090	+	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003572616	22	15709782	15709826	+	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003639659	22	15710868	15711034	+	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003480843	22	15719660	15719778	+	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001600878	22	15699361	15701482	-	2122	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0
ENSE00001671032	22	15702960	15703403	-	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001807110	22	15701459	15701565	+	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001664866	22	15721486	15722608	+	1123	3424	1301	7599	7593	7581	785	3424	802	1301	825	7599	756	7593	797	7581
ENSE00001671974	22	15746630	15746899	+	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001733158	22	15754388	15754453	+	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001715873	22;22	15778010;15778010	15778297;15778297	+;+	288	2	0	8	0	4	0	2	0	0	0	8	0	0	0	4
ENSE00001617515	22	15765687	15765780	+	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001784645	22	15774712	15774848	+	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001787093	22	15749156	15749798	-	643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001736141	22	15750372	15750825	-	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001729823	22	15784959	15785057	+	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002235402	22;22;22	15787172;15787172;15787172	15787282;15787282;15787282	+;+;+	111	1	3	7	13	7	0	1	2	3	0	7	1	13	5	7
ENSE00001764172	22	15788585	15788699	+	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002219275	22;22;22	15788820;15788820;15788820	15788931;15788931;15788931	+;+;+	112	3	3	12	14	5	0	3	0	3	0	12	0	14	0	5
ENSE00001650067	22;22	15790661;15790661	15790798;15790798	+;+	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001620210	22	15791010	15791152	+	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002219189	22;22;22;22	15815476;15815476;15815476;15815476	15815566;15815566;15815566;15815566	+;+;+;+	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001636604	22	15826142	15827434	+	1293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001715620	22	15784963	15785057	+	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002265621	22;22	15788552;15788552	15788699;15788699	+;+	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002235266	22;22;22;22	15791017;15791017;15791017;15791017	15791152;15791152;15791152;15791152	+;+;+;+	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001714852	22	15826142	15827708	+	1567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002258817	22	15784968	15785057	+	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002292143	22	15790685	15790798	+	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002218519	22	15818574	15819165	+	592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001632167	22	15784992	15785057	+	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001767994	22	15826142	15829984	+	3843	8	0	18	16	14	0	8	0	0	0	18	0	16	0	14
ENSE00001725302	22	15790709	15790798	+	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001633543	22	15791628	15791814	+	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003710211	22	15818493	15819134	+	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003656245	22	15796959	15798346	+	1388	8	0	4	4	12	5	8	2	0	9	4	4	4	7	12
ENSE00001730294	22	15805263	15806011	-	749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001762192	22;22	15813394;15813394	15813481;15813481	-;-	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001621288	22	15815575	15815897	-	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003707205	22	15805812	15806011	-	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003709080	22	15820621	15820884	-	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001650023	22	15805847	15806011	-	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001798044	22	15806356	15806503	-	148	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ENSE00003709718	22	15823197	15823890	+	694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001675587	22	15826566	15827187	+	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001747868	22	15852990	15853221	+	232	9	1	7	7	4	0	9	4	1	3	7	1	7	3	4
ENSE00001594742	22	15859050	15859171	+	122	5	0	2	2	0	0	5	2	0	1	2	3	2	5	0
ENSE00001697043	22	15876489	15876687	+	199	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1
ENSE00001608519	22	15877315	15877448	+	134	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ENSE00001776112	22	15893137	15893942	+	806	3	0	4	2	1	0	3	0	0	0	4	0	2	0	1
ENSE00001603029	22	15854195	15855243	-	1049	77	24	173	147	218	86	77	59	24	66	173	72	147	72	218
ENSE00001645102	22	15901791	15901911	+	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001798223	22	15914721	15915146	-	426	0	2	9	5	2	0	0	0	2	0	9	0	5	0	2
ENSE00001660730	22	15915641	15915800	-	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003714392	22	16141767	16141872	+	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001799661	22	16387694	16387839	+	146	5	3	0	6	4	0	5	0	3	0	0	1	6	0	4
ENSE00001691845	22	16390136	16390220	+	85	5	1	1	2	4	0	5	0	1	0	1	0	2	0	4
ENSE00001672952	22	16390370	16390495	+	126	2	1	4	5	6	0	2	0	1	0	4	0	5	0	6
ENSE00001798781	22	16390641	16390887	+	247	2	4	9	7	6	3	2	1	4	0	9	2	7	0	6
ENSE00001625751	22	16405330	16405417	+	88	4	1	4	13	5	3	4	0	1	4	4	1	13	6	5
ENSE00001616608	22	16423943	16424108	+	166	71	22	127	147	166	0	71	0	22	0	127	0	147	0	166
ENSE00001729068	22	16424525	16425212	+	688	102	46	220	292	279	0	102	0	46	0	220	0	292	0	279
ENSE00001752970	22	16425245	16425488	+	244	80	47	196	225	229	0	80	0	47	0	196	0	225	0	229
ENSE00001606166	22	16425518	16426031	+	514	141	67	331	300	398	0	141	0	67	0	331	1	300	0	398
ENSE00001557721	22	16428947	16429161	-	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001782535	22	16433326	16433461	-	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001719021	22	16434364	16434454	-	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001643934	22	16438287	16438437	-	151	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSE00001695368	22	16439313	16439391	-	79	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSE00001767092	22	16459930	16460104	-	175	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSE00001671201	22	16472852	16472978	-	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001754042	22	16474088	16474229	-	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001666715	22	16476699	16476870	-	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003758877	22	16486985	16488322	+	1338	2	1	4	2	0	0	2	0	1	0	4	0	2	0	0
ENSE00001677472	22	16503304	16503376	+	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001767761	22	16508155	16508239	+	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001608172	22	16509388	16509475	+	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003706382	22	16521059	16521289	+	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003707054	22	16525947	16526113	+	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003702906	22	16526975	16527237	+	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001732752	22	16572027	16572150	+	124	4	6	1	2	4	0	4	0	6	0	1	0	2	0	4
ENSE00001623204	22	16572708	16572753	+	46	2	4	0	2	0	0	2	0	4	0	0	0	2	0	0
ENSE00001597534	22	16573044	16573212	+	169	0	2	5	2	4	1	0	0	2	1	5	0	2	0	4
ENSE00001739921	22	16573422	16573527	+	106	0	1	7	1	4	0	0	0	1	0	7	0	1	0	4
ENSE00001596670	22	16574466	16574637	+	172	0	0	8	1	1	1	0	1	0	2	8	0	1	2	1
ENSE00003755408	22	16575363	16578073	-	2711	0	0	0	2	10	2	0	0	0	0	0	3	2	0	10
ENSE00001839032	22	16580811	16581287	-	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001930505	22	16582507	16582707	-	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001878881	22	16581077	16581287	-	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001937172	22	16582507	16582602	-	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001806026	22	16590751	16592810	-	2060	4	0	6	0	6	0	4	0	0	0	6	0	0	0	6
ENSE00001596581	22	16595089	16595485	-	397	160	60	410	415	438	134	160	123	60	133	410	146	415	154	438
ENSE00002570186	22	16601887	16602215	+	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001605063	22;22;22;22;22;22	16638579;16638579;16638579;16638579;16638579;16638579	16638740;16638740;16638740;16638740;16638740;16638740	+;+;+;+;+;+	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002538847	22	16697496	16698742	+	1247	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
ENSE00003795523	22	16601911	16602215	+	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003791808	22	16611658	16611893	+	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003796833	22	16614077	16614178	+	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001543732	22;22;22	16622841;16622841;16622841	16622897;16622897;16622897	+;+;+	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001696455	22;22;22;22	16637040;16637040;16637040;16637040	16637090;16637090;16637090;16637090	+;+;+;+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001752794	22	16647168	16647257	+	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001688048	22	16647663	16647785	+	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001788422	22	16648527	16648830	+	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001675045	22	16602044	16602215	+	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001613048	22	16648527	16653809	+	5283	6	0	18	9	2	0	6	0	0	0	18	0	9	0	2
ENSE00001773127	22	16619615	16619720	+	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001782294	22	16620052	16620160	+	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001788901	22	16647605	16647785	+	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001620549	22	16648527	16648648	+	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001649259	22	16653510	16653692	+	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002736492	22	16637020	16637090	+	71	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0
ENSE00002896340	22	16638579	16638980	+	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002923192	22	16639298	16640737	+	1440	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ENSE00001798341	22	16649930	16649961	+	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001806015	22	16652322	16652483	+	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001762391	22	16652933	16653805	+	873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003792889	22	16601911	16602215	+	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003797761	22;22;22	16611658;16611658;16611658	16611893;16611893;16611893	+;+;+	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002924237	22	16614077	16615111	+	1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002911043	22	16601948	16602215	+	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003800255	22	16614077	16614178	+	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002871438	22	16614699	16615111	+	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002800237	22	16602050	16602215	+	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002779343	22	16613985	16614333	+	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002951757	22	16612582	16615104	+	2523	0	2	3	0	0	0	0	0	2	0	3	0	0	0	0
ENSE00001700739	22	16616170	16616346	+	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001789206	22	16616746	16617114	+	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002032018	22	16645695	16645813	-	119	4	2	5	2	0	0	4	0	2	1	5	0	2	0	0
ENSE00002021604	22	16646448	16646581	-	134	2	0	3	2	2	0	2	0	0	1	3	0	2	0	2
